start_ts,weather_conditions,duration_seconds
11/4/17 5:00,Good,1365
11/25/17 6:00,Good,2842
11/11/17 11:00,Good,1680
11/11/17 10:00,Good,1872
11/4/17 18:00,Bad,2255
11/11/17 6:00,Good,1320
11/4/17 16:00,Bad,2620
11/4/17 12:00,Good,2740
11/11/17 6:00,Good,1498
11/11/17 9:00,Good,1443
11/11/17 10:00,Good,1200
11/4/17 12:00,Good,2460
11/11/17 7:00,Good,1440
11/18/17 6:00,Good,1680
11/4/17 14:00,Good,3360
11/11/17 8:00,Good,1404
11/18/17 15:00,Good,3660
11/4/17 17:00,Bad,2640
11/4/17 16:00,Bad,2981
11/25/17 7:00,Good,1363
11/4/17 9:00,Good,1839
11/4/17 6:00,Good,1500
11/11/17 7:00,Good,1500
11/18/17 11:00,Good,2412
11/18/17 14:00,Good,3780
11/11/17 18:00,Good,3900
11/4/17 12:00,Good,2897
11/18/17 6:00,Good,1201
11/4/17 10:00,Good,2444
11/11/17 12:00,Good,1860
11/4/17 12:00,Good,2460
11/4/17 18:00,Bad,2220
11/4/17 16:00,Bad,2995
11/25/17 11:00,Good,1643
11/11/17 11:00,Good,1530
11/11/17 6:00,Good,1441
11/4/17 11:00,Good,2425
11/11/17 5:00,Good,1386
11/25/17 18:00,Good,2280
11/18/17 13:00,Bad,3317
11/25/17 14:00,Good,1758
11/4/17 14:00,Good,3000
11/4/17 6:00,Good,1496
11/18/17 14:00,Good,2940
11/11/17 11:00,Good,1740
11/4/17 12:00,Good,3057
11/4/17 11:00,Good,2611
11/4/17 14:00,Good,3887
11/4/17 12:00,Good,2400
11/25/17 9:00,Good,1320
11/11/17 9:00,Good,1623
11/11/17 10:00,Good,1554
11/25/17 6:00,Good,1391
11/4/17 7:00,Good,1140
11/11/17 6:00,Good,1260
11/18/17 6:00,Good,1740
11/11/17 8:00,Good,1380
11/11/17 10:00,Good,1560
11/4/17 16:00,Bad,2880
11/25/17 16:00,Good,1620
11/11/17 17:00,Good,2040
11/18/17 8:00,Bad,1440
11/25/17 15:00,Good,1672
11/11/17 16:00,Good,2141
11/11/17 6:00,Good,1260
11/4/17 17:00,Bad,2880
11/11/17 17:00,Good,2271
11/11/17 18:00,Good,2606
11/11/17 17:00,Good,2460
11/11/17 12:00,Good,1800
11/4/17 6:00,Good,1547
11/11/17 8:00,Good,1320
11/11/17 17:00,Good,2580
11/11/17 14:00,Good,2280
11/25/17 18:00,Good,4140
11/25/17 11:00,Good,7440
11/11/17 16:00,Good,2400
11/4/17 16:00,Bad,2618
11/4/17 5:00,Good,1320
11/18/17 16:00,Bad,2820
11/18/17 16:00,Bad,2820
11/4/17 14:00,Good,2940
11/4/17 14:00,Good,2940
11/11/17 15:00,Good,2274
11/4/17 7:00,Good,1440
11/11/17 10:00,Good,1709
11/4/17 12:00,Good,2761
11/11/17 14:00,Good,2400
11/11/17 11:00,Good,1620
11/11/17 6:00,Good,1354
11/4/17 6:00,Good,1473
11/11/17 9:00,Good,1200
11/11/17 11:00,Good,1596
11/4/17 19:00,Good,2037
11/4/17 14:00,Good,3180
11/25/17 15:00,Good,2040
11/11/17 20:00,Good,1980
11/11/17 4:00,Good,1620
11/18/17 8:00,Bad,1680
11/4/17 8:00,Good,1686
11/18/17 14:00,Good,2940
11/11/17 7:00,Good,1261
11/18/17 12:00,Bad,2640
11/11/17 11:00,Good,1140
11/11/17 14:00,Good,2040
11/11/17 11:00,Good,1440
11/4/17 12:00,Good,2520
11/4/17 16:00,Bad,3000
11/11/17 6:00,Good,1380
11/18/17 10:00,Bad,1610
11/25/17 12:00,Good,1708
11/18/17 5:00,Good,1422
11/25/17 12:00,Good,1500
11/18/17 10:00,Bad,1740
11/4/17 14:00,Good,2982
11/18/17 7:00,Bad,1322
11/4/17 16:00,Bad,2894
11/25/17 7:00,Good,1217
11/4/17 17:00,Bad,2340
11/11/17 17:00,Good,2640
11/11/17 6:00,Good,1560
11/4/17 14:00,Good,3427
11/4/17 11:00,Good,2418
11/4/17 18:00,Bad,2458
11/11/17 14:00,Good,2400
11/11/17 12:00,Good,1961
11/11/17 18:00,Good,2885
11/4/17 6:00,Good,1293
11/11/17 8:00,Good,1320
11/11/17 11:00,Good,1320
11/4/17 15:00,Good,3615
11/4/17 16:00,Bad,3420
11/11/17 6:00,Good,1270
11/11/17 7:00,Good,1335
11/11/17 4:00,Good,1219
11/18/17 5:00,Good,1336
11/25/17 6:00,Good,1331
11/11/17 9:00,Good,1571
11/25/17 12:00,Good,2286
11/4/17 7:00,Good,1563
11/25/17 11:00,Good,1541
11/25/17 11:00,Good,1680
11/11/17 18:00,Good,3180
11/11/17 4:00,Good,1338
11/11/17 8:00,Good,1440
11/11/17 13:00,Good,420
11/11/17 7:00,Good,1440
11/11/17 7:00,Good,1443
11/11/17 12:00,Good,2700
11/25/17 6:00,Good,1372
11/4/17 10:00,Good,2286
11/4/17 8:00,Good,1421
11/4/17 13:00,Good,3203
11/11/17 7:00,Good,1419
11/11/17 14:00,Good,2220
11/18/17 5:00,Good,1346
11/25/17 12:00,Good,1553
11/25/17 15:00,Good,2204
11/4/17 14:00,Good,3528
11/11/17 13:00,Good,2262
11/11/17 14:00,Good,2100
11/11/17 8:00,Good,1380
11/11/17 13:00,Good,2091
11/11/17 8:00,Good,1205
11/18/17 3:00,Good,1259
11/18/17 4:00,Good,1134
11/4/17 10:00,Good,2694
11/4/17 12:00,Good,2410
11/11/17 9:00,Good,1440
11/18/17 11:00,Good,2520
11/18/17 10:00,Bad,1560
11/11/17 6:00,Good,1200
11/25/17 15:00,Good,2220
11/25/17 17:00,Good,2160
11/25/17 12:00,Good,1620
11/4/17 10:00,Good,1860
11/4/17 16:00,Bad,2820
11/4/17 13:00,Good,3394
11/11/17 14:00,Good,2820
11/11/17 14:00,Good,2820
11/11/17 10:00,Good,1560
11/11/17 10:00,Good,1560
11/11/17 12:00,Good,1968
11/4/17 5:00,Good,1200
11/4/17 10:00,Good,1860
11/11/17 6:00,Good,1380
11/11/17 18:00,Good,2460
11/4/17 19:00,Good,1602
11/25/17 7:00,Good,1409
11/25/17 13:00,Good,1740
11/11/17 17:00,Good,2460
11/11/17 6:00,Good,1310
11/18/17 7:00,Bad,1594
11/11/17 14:00,Good,2412
11/11/17 17:00,Good,2193
11/11/17 9:00,Good,1874
11/18/17 15:00,Good,2983
11/4/17 14:00,Good,3540
11/11/17 14:00,Good,2340
11/11/17 7:00,Good,1200
11/25/17 19:00,Good,2280
11/11/17 11:00,Good,1380
11/11/17 16:00,Good,2760
11/18/17 15:00,Good,3000
11/18/17 13:00,Bad,2700
11/4/17 12:00,Good,3000
11/18/17 13:00,Bad,3480
11/4/17 17:00,Bad,2040
11/18/17 10:00,Bad,1680
11/11/17 14:00,Good,2280
11/4/17 13:00,Good,2820
11/18/17 12:00,Bad,2880
11/4/17 16:00,Bad,2280
11/11/17 15:00,Good,2285
11/11/17 5:00,Good,1301
11/18/17 12:00,Bad,3480
11/18/17 16:00,Bad,2940
11/18/17 16:00,Bad,2760
11/18/17 10:00,Bad,1260
11/11/17 11:00,Good,1736
11/11/17 12:00,Good,2351
11/11/17 16:00,Good,2220
11/11/17 14:00,Good,2733
11/4/17 17:00,Bad,2040
11/11/17 17:00,Good,2100
11/4/17 12:00,Good,2460
11/18/17 13:00,Bad,2460
11/4/17 14:00,Good,3510
11/4/17 13:00,Good,2460
11/11/17 16:00,Good,2560
11/11/17 14:00,Good,2040
11/11/17 6:00,Good,1277
11/4/17 20:00,Good,2220
11/18/17 14:00,Good,2760
11/4/17 14:00,Good,3286
11/11/17 15:00,Good,2800
11/11/17 5:00,Good,1362
11/4/17 12:00,Good,2577
11/4/17 14:00,Good,3261
11/4/17 17:00,Bad,2580
11/4/17 9:00,Good,1878
11/4/17 10:00,Good,2697
11/4/17 15:00,Good,3351
11/25/17 9:00,Good,1513
11/18/17 6:00,Good,1260
11/18/17 8:00,Bad,1500
11/4/17 11:00,Good,1800
11/11/17 6:00,Good,1395
11/18/17 5:00,Good,1977
11/4/17 6:00,Good,1620
11/18/17 8:00,Bad,1740
11/25/17 10:00,Good,1440
11/18/17 12:00,Bad,2220
11/18/17 17:00,Bad,2133
11/18/17 16:00,Bad,3240
11/4/17 11:00,Good,2895
11/11/17 6:00,Good,1380
11/11/17 12:00,Good,2122
11/11/17 10:00,Good,1432
11/11/17 16:00,Good,2427
11/4/17 12:00,Good,2700
11/11/17 12:00,Good,1860
11/4/17 5:00,Good,1200
11/18/17 11:00,Good,1980
11/18/17 6:00,Good,1500
11/4/17 10:00,Good,1980
11/4/17 14:00,Good,3059
11/11/17 11:00,Good,1832
11/4/17 8:00,Good,1757
11/4/17 15:00,Good,3396
11/18/17 12:00,Bad,3461
11/4/17 10:00,Good,2333
11/11/17 13:00,Good,2103
11/4/17 1:00,Good,0
11/11/17 12:00,Good,2330
11/25/17 16:00,Good,2563
11/11/17 7:00,Good,1203
11/4/17 16:00,Bad,2761
11/11/17 12:00,Good,2029
11/4/17 6:00,Good,1351
11/11/17 14:00,Good,2640
11/11/17 6:00,Good,1380
11/4/17 7:00,Good,1260
11/4/17 10:00,Good,1975
11/11/17 6:00,Good,1200
11/11/17 5:00,Good,1296
11/4/17 4:00,Good,1440
11/11/17 8:00,Good,1440
11/11/17 12:00,Good,2133
11/18/17 12:00,Bad,2580
11/18/17 15:00,Good,2889
11/4/17 8:00,Good,1800
11/18/17 10:00,Bad,2280
11/25/17 17:00,Good,2340
11/18/17 7:00,Bad,1380
11/4/17 11:00,Good,2531
11/11/17 8:00,Good,1500
11/4/17 18:00,Bad,2280
11/4/17 17:00,Bad,2580
11/11/17 14:00,Good,3614
11/18/17 14:00,Good,2722
11/4/17 13:00,Good,3420
11/11/17 8:00,Good,1320
11/4/17 17:00,Bad,2330
11/11/17 16:00,Good,4980
11/11/17 7:00,Good,1320
